Date,AveragePrice,Total_Volume,4046,4225,4770,Total_Bags,type,region
2015-01-04,1.2,2540376.21,889131.67,889131.67,127018.81,635094.05,conventional,California
2015-01-04,1.75,130097.08,45533.98,45533.98,6504.85,32524.27,organic,California
2015-01-04,1.13,2908833.74,1018091.81,1018091.81,145441.69,727208.43,conventional,West
2015-01-04,1.89,114646.45,40126.26,40126.26,5732.32,28661.61,organic,West
2015-01-04,1.1,2780812.47,973284.37,973284.37,139040.62,695203.12,conventional,Northeast
2015-01-04,1.58,115676.08,40486.63,40486.63,5783.8,28919.02,organic,Northeast
2015-01-04,1.17,1886680.92,660338.32,660338.32,94334.05,471670.23,conventional,Southeast
2015-01-04,1.39,123852.59,43348.41,43348.41,6192.63,30963.15,organic,Southeast
2015-01-04,1.05,2492957.93,872535.28,872535.28,124647.9,623239.48,conventional,Great_Lakes
2015-01-04,1.51,96221.68,33677.59,33677.59,4811.08,24055.42,organic,Great_Lakes
2015-01-04,1.3,1526164.59,534157.61,534157.61,76308.23,381541.15,conventional,MidSouth
2015-01-04,1.66,69733.2,24406.62,24406.62,3486.66,17433.3,organic,MidSouth
2015-01-04,1.1,3386758.96,1185365.64,1185365.64,169337.95,846689.74,conventional,SouthCentral
2015-01-04,1.48,174043.31,60915.16,60915.16,8702.17,43510.83,organic,SouthCentral
2015-01-11,1.09,2829071.53,990175.04,990175.04,141453.58,707267.88,conventional,California
2015-01-11,1.56,159398.1,55789.33,55789.33,7969.9,39849.52,organic,California
2015-01-11,1.15,2658122.7,930342.94,930342.94,132906.13,664530.67,conventional,West
2015-01-11,1.77,103139.38,36098.78,36098.78,5156.97,25784.84,organic,West
2015-01-11,1.17,2112696.67,739443.84,739443.84,105634.83,528174.17,conventional,Northeast
2015-01-11,1.45,140542.37,49189.83,49189.83,7027.12,35135.59,organic,Northeast
2015-01-11,1.22,2116623.72,740818.3,740818.3,105831.19,529155.93,conventional,Southeast
2015-01-11,1.63,100004.82,35001.69,35001.69,5000.24,25001.21,organic,Southeast
